,corr,svd_importance,dt_importance,compound_correlation,mi,anova/chi
ffpts,1.0,1.0,1.0,0.9063974039799285,0.6255896159197143,0.0
ffpts_quarts,,0.9606291576412344,0.10679651853223655,0.7668564190433678,1.0,1.0
passing_first_downs,0.9092896210231706,0.7630226817167935,0.583232628999076,0.735962496293758,0.6883050534359919,0.0
pass_yards,0.9040985753500871,0.6701817386699966,0.8057423260299531,0.7278753057655653,0.531478583012224,0.0
team_passing_epa,0.8491410090915836,0.6531731475296563,0.8252027420165816,0.6922791213072397,0.44159958659113707,0.0
team_passing_yards,0.8062756631769685,0.5456968712035628,0.3847245410697513,0.6841742688625707,1.0,0.0
passing_epa,0.8858504087064817,0.5796921207603697,0.6850337749325459,0.6372676610973028,0.3984943399898141,0.0
team_passing_first_downs,0.8230337038655887,0.5911570512569516,0.20813581731933292,0.6113810220456707,0.8231975157408092,0.0
age,0.6215718661830337,0.6506467432569745,0.602855756054801,0.6052304999550254,0.5458476343252926,0.0
pass_yards_quarts,,0.5343668770389995,0.05549622170498962,0.5757168519845035,0.9265339402183419,0.7864703689756828
team_passing_tds_quarts,,0.5727987025183505,0.042700045613598685,0.550394667334043,0.8946715613149184,0.6914083598893043
pass_touchdowns_quarts,,0.8047561588317068,0.06022725355932915,0.550311838780487,0.48834874652304794,0.847915196207864
passer_rating,0.8242002507316863,0.35736182491068064,0.6708370020756478,0.5373136244132611,0.29685541993502973,0.0
completion_percentage,0.667451048897227,0.0,0.5782280474019712,0.5075248383640889,0.7844202571571575,0.0
completions,0.8168883638273449,0.4397230822623079,0.4354628341600617,0.49417658340501147,0.2846320533703314,0.0
pass_touchdowns,0.9137756407884186,0.777554779452801,0.0830296877757927,0.4893335498430403,0.18297409135514875,0.0
passing_first_downs_quarts,,0.5322914250736843,0.09950409432861562,0.4874035235725157,0.7286624736934777,0.5891561011942853
team_passing_tds,0.8453856559499111,0.36142099151913654,0.010623777762406835,0.43063777836071904,0.5051206882114216,0.0
team_passing_yards_quarts,,0.5630327995468724,0.06742880150605275,0.4058187049134958,0.5944404487376993,0.3983727698633589
passing_epa_quarts,,0.6019786171438493,0.021594977786159295,0.3815342536800607,0.5549596057500149,0.3476038140402194
completion_percentage_above_expectation,0.5513758756783712,0.22439231467693246,0.654297228662309,0.35751635475440313,0.0,0.0
attempts,0.6591830206126457,0.01005531517137728,0.4391753074976235,0.3551454570318768,0.3121681848458606,0.0
team_passing_epa_quarts,,0.574904393395176,0.0181184313426569,0.3315624609372153,0.5188824975165904,0.21434452149443803
team_passing_first_downs_quarts,,0.36167996636796834,0.08905615873773874,0.33115757811119695,0.6324118478155075,0.24148233952357318
coach_pass_oe,0.6069578516313548,0.062400795824889145,0.6527511315011006,0.33052744473933615,0.0,0.0
passer_rating_quarts,,0.4298476028998278,0.0,0.2620771663910051,0.15047187457523634,0.4679891880889563
season_quarts,,0.049102170789474806,0.14851360817324785,0.26187611288930135,0.7143573699933972,0.1355313026010855
completions_quarts,,0.1871377543946959,0.03467845955316552,0.2514331920843211,0.23058669921150893,0.553329855177914
season,0.0,0.17942648066987288,0.3514142895567665,0.23427632305471024,0.4062645219922017,0.0
completion_percentage_quarts,,0.0338437808612273,0.01608855152767742,0.19430005006959794,0.4617561638412714,0.2655117040482157
coach_pass_oe_quarts,,0.31097342238901193,0.09712605899920042,0.10202487034705308,0.0,0.0
completion_percentage_above_expectation_quarts,,0.1305785537640075,0.0568675142356109,0.09639583872799035,0.0,0.19813728691234297
avg_air_yards_differential_quarts,,0.016388565789765684,0.16086403612912473,0.07374647302996559,0.011663517006641533,0.10606977319433042
