,corr,svd_importance,dt_importance,compound_correlation,mi,anova/chi
ffpts,0.9828444329493727,1.0,1.0,0.9609009229142181,0.8607592587074997,0.0
percent_share_of_intended_air_yards,0.7802499603577325,0.7491208516077632,0.9413175674412187,0.8676720948516786,1.0,0.0
yards,0.9102769605313341,0.880396386910846,0.8636018275294615,0.8283708880029831,0.659208377040291,0.0
targets,1.0,0.9568219198300749,0.5315432952220808,0.7043081028836671,0.3288671964825125,0.0
targets_quarts,,0.9580569562917384,0.06859817227287002,0.6678317676252583,0.6446719419364249,1.0
yards_quarts,,0.8004536339780611,0.01770894582899721,0.6374035556539627,1.0,0.7314516428087924
receptions,0.9034331147164074,0.7218506373163426,0.30606008942321455,0.5580838105741069,0.30099140084046305,0.0
receptions_quarts,,0.7430432798301688,0.23480473448751502,0.5371692845930428,0.1872239978348478,0.9836051262196394
ffpts_quarts,,0.810522648321621,0.0,0.5359068009295715,0.5245853329445807,0.8085192224520845
percent_share_of_intended_air_yards_quarts,,0.7791749644489389,0.09471804759123968,0.4346560883888207,0.1553561195077959,0.7093752220073083
offense_pct_quarts,,0.761219037833519,0.23536936785881352,0.4191107408509772,0.2990802204809294,0.380774337230647
offense_pct,,0.7938489472444676,0.19454274027850835,0.34229150618840576,0.0,0.380774337230647
receiving_rat,0.024902302784232624,0.1274615529870471,0.7253837103640441,0.21943689153383095,0.0,0.0
receiving_rat_quarts,,0.07416701834791257,0.16908404124620918,0.15963186514504069,0.39527640098604105,0.0
rec_touchdowns,0.0,0.0,0.1352737123680667,0.03381842809201668,0.0,0.0
