,corr,svd_importance,dt_importance,compound_correlation,mi,anova/chi
rush_yards,0.9721863449690573,1.0,1.0,0.7949336916073382,0.20754842146029534,0.0
ffpts,1.0,0.9999830598630624,0.6563823980826636,0.6640913644864315,0.0,0.0
rush_yards_quarts,,0.7866019907555362,0.15396065512125026,0.6478132602205131,0.7900622977043246,0.8606280973009416
rush_attempts,0.8654635331727745,0.45817829325366466,0.20254731434381834,0.6245370690573717,0.9719591354592296,0.0
carries,0.8654635331727745,0.4154306832680073,0.4045043753275996,0.5984437868854335,0.708376555773353,0.0
rush_yards_over_expected,0.7281037152569311,0.09264779434671168,0.8680913804228443,0.49661211442496556,0.2976055676733752,0.0
rush_touchdowns,0.8073740683064625,0.10626492800850341,0.06649367940075537,0.49503316892893034,1.0,0.0
rushing_yards_after_contact_avg,0.7812963442915132,0.08276847532450951,0.4634784629777449,0.48326923250459747,0.6055336474246223,0.0
carries_quarts,,0.4557155543643069,0.02186649989736485,0.4622929477539246,0.9429355062048602,0.4286542305491663
expected_rush_yards,0.8406430063553991,0.2811318782805059,0.6988519359087118,0.4551567051361542,0.0,0.0
rush_yards_over_expected_per_att,0.7176173850068118,0.22395518122142147,0.7604464439752303,0.4255047525508659,0.0,0.0
team_rushing_yards,0.43991985389054167,0.6826251988359545,0.5643342103180289,0.42171981576113127,0.0,0.0
rushing_first_downs,0.8784461815728875,0.5099904474021406,0.152056483134558,0.40947477628096496,0.0974059930142738,0.0
coach_pass_oe_quarts,,0.026767510976449003,0.2651485365606894,0.39843151401131827,1.0,0.3018100085081348
ffpts_quarts,,0.8506753648468399,0.0925924230138854,0.390759497040203,0.23986245636019252,0.37990774393989424
rush_attempts_quarts,,0.45561330409250284,0.009859991462598073,0.3679454822151679,0.5776544027564045,0.4286542305491663
rush_touchdowns_quarts,,0.2101724291865397,0.0,0.3643562301650275,0.24725249147357042,1.0
draft_pos_decay,,0.6501193620333956,0.07742914521469682,0.36386731366677455,0.3776906108580556,0.3502301365609503
rush_pct_over_expected,0.418347814785259,0.14195569881967607,0.82330247213288,0.3459014964344538,0.0,0.0
avg_rush_yards,0.736742518164833,0.10574934902013751,0.49870588219042894,0.33529943734384987,0.0,0.0
team_rushing_first_downs,0.3664370351800281,0.6346447415224645,0.30515049369482294,0.3265580675993289,0.0,0.0
draft_pos_decay_quarts,,0.6715456097615431,0.16603889028046004,0.29695365915073835,0.0,0.3502301365609503
team_rushing_epa,0.4341103636535354,0.016313107431619244,0.44805041158230446,0.2854585210432945,0.24336020150571883,0.0
efficiency,0.0,0.1540208876491355,0.939814590528909,0.27345886954451115,0.0,0.0
rushing_first_downs_quarts,,0.26057711444753934,0.05689523158373059,0.26979666760000465,0.5047340498821281,0.25698027448662064
rushing_yards_after_contact_avg_quarts,,0.0,0.19264673476459973,0.2661607743017443,0.0,0.8719963624423774
rush_yards_over_expected_quarts,,0.06139602065924744,0.009880412196805263,0.26610854566834924,0.5319667674953219,0.4611909823220223
offense_pct_quarts,,0.4834964135186385,0.06167707101888285,0.20281012062084455,0.0,0.26606699794585686
offense_pct,,0.42690173735355025,0.028086625854045703,0.1802638402883632,0.0,0.26606699794585686
expected_rush_yards_quarts,,0.06973736362937669,0.07074212897438278,0.1754404834725118,0.2584635259402927,0.302818915345995
rush_pct_over_expected_quarts,,0.11871161088683312,0.11662123780254091,0.170822915628206,0.0,0.44795881382345
team_rushing_yards_quarts,,0.45049515208008695,0.15447503160601372,0.16965721215038068,0.0,0.07365866491542203
rush_yards_over_expected_per_att_quarts,,0.12936258096860687,0.10261124093141524,0.1523394668459356,0.0,0.37738404548372034
avg_rush_yards_quarts,,0.04732473324385612,0.09586647124772413,0.11447028093127262,0.0,0.31468991923351025
team_rushing_first_downs_quarts,,0.31216332833941624,0.056499601333326335,0.09216573241818564,0.0,0.0
