,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_drop_pct,receiving_rat
49,2018,1,5.1,2.4040382179146187,30.002,29.32804160394143,1,5,20.0,1.0,0,1.8200000000000005,,,0.4,39.6
69,2018,1,4.183999999999999,1.776148745803311,14.43,18.332189953502557,0,5,0.0,,0,,,,0.0,39.6
164,2018,3,8.431999999999999,2.268024258110164,24.172,43.43732029902242,0,5,0.0,,0,,,,0.2,0.0
321,2018,5,8.824000000000002,2.629023126898712,11.291999999999998,24.665792922673653,0,5,0.0,,0,,,,0.2,39.6
365,2018,5,5.4975,1.852043911038888,19.406,35.85205438959503,0,5,0.0,,0,,,,0.0,39.6
443,2018,6,5.2,1.490882968032804,17.580000000000002,33.86891688822102,0,5,0.0,,0,,,,0.0,39.6
454,2018,6,4.6850000000000005,1.6547858663710275,9.073999999999998,20.92615654259489,0,5,0.0,,0,,,,0.4,0.0
591,2018,8,3.996,3.0668000371138477,10.658333333333337,22.734544420349103,2,6,33.33333333333333,31.0,1,3.1950000000000003,,,0.0,91.0
595,2018,8,3.548,1.1530419620869536,12.864,19.719173462505363,1,5,20.0,4.0,1,,,,0.0,79.2
839,2018,12,3.398,1.9280183569866625,15.941999999999998,23.34797891036907,0,5,0.0,,0,,,,0.0,0.0
957,2018,14,5.806,2.119364693462499,22.484,58.09819121447028,0,5,0.0,,0,,,,0.2,39.6
1086,2018,16,5.866,2.255194328290224,8.21,28.64619678995115,1,5,20.0,3.0,1,,,,0.2,79.2
1353,2019,2,4.37,1.4533698583835075,21.118571428571432,51.12217726596812,1,7,14.285714285714285,45.0,1,,,,0.143,56.2
1355,2019,2,4.155714285714286,1.1406229665987997,20.24857142857143,31.41609592836403,0,7,0.0,,0,,,,0.143,0.0
1472,2019,4,7.002000000000001,1.5947960289378351,13.15,13.03063934361251,0,5,0.0,,0,,,,0.0,39.6
1976,2019,11,3.3620000000000005,0.5533486254935097,13.916000000000002,28.670320161522937,1,5,20.0,34.0,0,1.3100000000000025,,,0.0,55.4
2265,2019,16,6.832857142857143,2.3345834313631406,19.79,50.79755051153239,1,7,14.285714285714285,12.0,0,2.680000000000007,,,0.0,39.6
2321,2019,16,2.71,1.7609697350030238,14.318,35.60274517604934,0,5,0.0,,0,,,,0.2,39.6
2668,2020,4,7.258,1.859860720276976,22.678,29.33309188741722,0,5,0.0,,0,,,,0.0,39.6
2898,2020,7,5.492,1.287118887319054,9.326,29.24611138986452,0,5,0.0,,0,,,,0.6,39.6
3077,2020,10,6.869999999999999,1.5052082509775235,17.444,26.96469424349224,0,5,0.0,,0,,,,0.2,39.6
3555,2020,16,5.921666666666667,1.1484368210220424,21.676666666666662,42.69021203965075,0,6,0.0,,0,,,,0.0,39.6
3652,2020,17,4.815,2.1766216322244456,14.126666666666663,46.27900627900628,0,6,0.0,,0,,,,0.0,0.0
4367,2021,10,6.295714285714287,1.6957765842877266,9.81285714285714,23.21157030378805,0,7,0.0,,0,,,,0.0,39.6
4395,2021,10,4.148000000000001,1.1011720329193757,13.432000000000002,20.152433535377785,0,5,0.0,,0,,,,0.2,39.6
4541,2021,12,,4.915787311017746,-2.7800000000000016,-10.976366405324612,5,7,71.42857142857143,31.0,0,9.216,8.957143826845277,0.2588561731547223,0.143,80.1
4602,2021,13,4.755,1.2090853120780591,10.022000000000002,16.896516842566676,0,5,0.0,,0,,,,0.0,0.0
4611,2021,13,,4.298781230997906,-0.9000000000000016,-2.124287689247061,4,7,57.14285714285714,9.0,0,3.5600000000000023,4.541871859068124,-0.9818718590681216,0.143,62.2
5174,2022,3,5.84,1.9389962662646785,18.57166666666667,31.904598293534907,1,6,16.666666666666664,15.0,1,,,,0.0,79.2
5556,2022,9,6.686,2.0318883647288453,26.064,54.62776659959759,0,5,0.0,,0,,,,0.2,39.6
5942,2022,15,6.726000000000001,0.7097406602234424,17.684,34.363219462904674,0,5,0.0,,0,,,,0.0,39.6
6259,2023,1,4.612500000000001,1.872665130888809,17.188750000000002,60.49447890545952,0,8,0.0,,0,,,,0.125,39.6
6322,2023,2,5.786666666666666,2.988606487100704,17.290000000000003,33.67635124168154,0,6,0.0,,0,,,,0.0,39.6
6647,2023,7,6.746666666666667,3.2770345130014547,21.08,37.08112228444105,0,6,0.0,,0,,,,0.167,0.0
7148,2023,14,4.290000000000001,1.2377700219653938,20.160000000000004,39.46132164108989,0,5,0.0,,0,,,,0.2,39.6
7379,2023,18,8.123999999999999,1.4950766310194403,14.662,29.099352994879528,1,5,20.0,5.0,1,0.0,,,0.0,79.2
7412,2023,18,5.779999999999999,1.421121538529308,23.792,42.32247047104028,1,5,20.0,33.0,0,3.219999999999999,,,0.0,10.4
7574,2024,3,6.657500000000001,1.0561663931587786,21.726,49.6980510568213,0,5,0.0,,0,,,,0.0,0.0
7765,2024,6,6.75375,1.3843460492664137,18.05375,58.92216057441253,0,8,0.0,,0,,,,0.0,0.0
8157,2024,12,5.914,1.9678225198392216,11.663999999999998,16.587030716723554,0,5,0.0,,0,,,,0.4,39.6
