,season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,passing_drop_pct,passing_bad_throw_pct,times_pressured_pct,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_home_wp,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_total_home_epa,coach_total_home_rush_epa,coach_total_home_pass_epa,coach_3d_pct,ffpts,ffpts_target
1,2018,1,3.0890303030303032,7.487894736842104,10.13,-2.6421052631578945,9.090909090909092,48.34972595579007,-0.6578787878787882,33,298,3,2,92.739898989899,19,57.57575757575758,65.67081565206702,-8.095058076309442,23.32158308204242,51.37925651466747,0.061,0.212,0.4,1.0,298.0,3.0,10.0,4.096391,64.0,0.0,1.0,-7.9063296,10.0,4.096391,5.0,0.0,0.0,1.0349555,75.0,29.777,1.0,75.0,,,-126.76522445678712,0.2911185473203659,0.5230589012304941,5.333333333333333,17.833333333333332,60.16666666666666,-0.2686437765757243,-0.9098897377649944,2.4200724760691323,0.3609961991508801,23.92,17.04
2,2018,1,2.6739487179487185,5.988,9.368205128205128,-3.3802051282051275,28.205128205128204,44.26543233720868,0.9066666666666664,39,329,3,3,84.24145299145299,25,64.1025641025641,62.89805271782172,1.204511384742382,21.297681226752477,44.26543233720868,0.077,0.128,0.25,1.0,329.0,3.0,15.0,-3.8372416,146.0,0.0,8.0,-4.0300503,15.0,-3.8372416,0.0,0.0,0.0,,,30.56,1.0,,0.0,0.0,-25.5812193552653,0.3481893340746562,0.4582873334487279,4.5,19.166666666666668,57.16666666666666,-8.383619546890259,0.6150289786358675,-9.617843627929688,0.3047198231021563,25.16,8.88
3,2018,1,2.559411764705883,5.491470588235295,10.029215686274508,-4.537745098039213,11.76470588235294,32.8885101517232,1.2645098039215688,51,424,3,1,103.71732026143792,34,66.66666666666666,63.97821332017581,2.688453346490853,22.00567220903587,56.31290083098189,0.102,0.163,0.231,1.0,424.0,3.0,23.0,16.011957,123.0,0.0,7.0,1.6609118,23.0,16.011957,0.0,0.0,0.0,,4.0,36.753,1.0,4.0,,,130.82002766927084,0.3145602544148763,0.370935246348381,4.0,23.0,52.0,-6.639084498087565,1.7310588359832764,9.472276131312052,0.2909090965986252,28.96,22.24
5,2018,1,2.905222222222223,8.618666666666668,12.745185185185186,-4.126518518518518,7.4074074074074066,39.13877105888738,3.708148148148149,27,256,4,0,127.46913580246913,15,55.55555555555556,58.219671332173874,-2.664115776618317,24.01715776665638,56.00732095003296,0.04,0.2,0.379,1.0,256.0,4.0,10.0,12.7521105,106.0,0.0,7.0,-1.2504128,10.0,12.7521105,21.0,0.0,2.0,2.5031843,10.0,22.979,1.0,10.0,,,126.4694595336914,0.3058471232652664,0.4645656272768974,4.5,18.5,41.0,-3.1668014526367188,0.6144260168075562,12.52549135684967,0.3000000044703483,26.24,37.04
7,2018,1,2.464075,3.436896551724138,5.066750000000001,-1.6298534482758629,15.0,36.19600668582102,-4.558250000000001,40,303,0,3,62.81249999999999,29,72.5,68.91812989488244,3.5818701051175594,19.12076969136225,37.49892931804854,0.027,0.108,0.214,1.0,,,,,,,,,11.0,-12.6492195,1.0,0.0,0.0,-1.4943775,36.0,27.455,1.0,36.0,,,,,,,,,,,,,12.12,15.52
8,2018,1,3.152272727272727,6.626666666666666,9.914242424242422,-3.2875757575757563,18.181818181818183,32.00095779816598,1.7324242424242429,33,233,2,0,97.1590909090909,18,54.54545454545454,64.14005094856927,-9.594596403114728,23.339844106721085,59.95884004882016,0.063,0.219,0.118,1.0,233.0,2.0,13.0,5.476922,140.0,0.0,8.0,2.6140876,13.0,5.476922,-1.0,0.0,0.0,0.0,1.0,23.907,1.0,1.0,,,-42.53271230061849,0.3079927663008372,0.6616676251093546,5.5,16.666666666666668,81.83333333333333,5.413795153299968,-0.6966086626052856,4.0078980922698975,0.2860711266597112,17.32,18.16
9,2018,1,2.329428571428572,6.437,9.37,-2.9330000000000007,25.0,55.29891319004379,0.798571428571429,28,230,2,2,89.88095238095238,20,71.42857142857143,63.7694896065763,7.65908182199513,22.2552212440693,55.29891319004379,0.036,0.179,0.069,1.0,230.0,2.0,9.0,2.2100847,120.0,0.0,7.0,-3.5549972,9.0,2.2100847,4.0,0.0,0.0,-0.97902155,8.0,30.119,1.0,8.0,,,91.62484741210938,0.3118060827255249,0.7327462434768677,4.0,18.0,61.0,7.089271545410156,-2.7354724407196045,21.52436065673828,0.2000000029802322,17.200000000000003,14.72
10,2018,1,2.667111111111112,4.980499999999998,6.9991666666666665,-2.018666666666668,13.88888888888889,36.84829982509369,-1.6397222222222227,36,244,2,0,95.1388888888889,20,55.55555555555556,62.24244108630551,-6.686885530749954,20.538393416234484,44.91300479816509,0.091,0.152,0.256,1.0,244.0,2.0,15.0,0.20115024,116.0,0.0,3.0,-13.987625,15.0,0.20115024,26.0,0.0,1.0,-0.20101069,102.0,30.056,1.0,102.0,,,65.26753616333008,0.30607603987058,0.4438967357079188,4.666666666666667,19.33333333333333,46.0,-6.040380341311296,-1.8002031246821086,1.0375688870747883,0.3890253578623135,17.759999999999998,33.0
11,2018,1,2.70909090909091,8.037333333333333,10.8240625,-2.786729166666668,24.24242424242424,42.71310922890067,1.7928125,33,261,1,3,45.138888888888886,15,45.45454545454545,60.512673267812445,-15.058127813266992,23.438667666569525,48.44092897540261,0.031,0.219,0.289,1.0,261.0,1.0,10.0,-13.54858,90.0,0.0,6.0,-8.591491,10.0,-13.54858,6.0,0.0,1.0,0.6229165,62.0,26.853,1.0,62.0,,,-111.92257197697955,0.3262905577818553,0.584555096924305,5.833333333333333,22.33333333333333,94.83333333333331,3.698362112045288,1.4072854133943715,0.914579709370931,0.3648111224174499,14.44,16.240000000000002
12,2018,1,2.6784666666666666,7.551621621621621,7.927333333333332,-0.3757117117117117,11.11111111111111,45.42970393916298,-0.5171111111111109,45,439,3,0,129.53703703703704,37,82.22222222222221,69.64783695836861,12.5743852638536,20.637682531969247,45.42970393916298,0.023,0.07,0.109,1.0,439.0,3.0,19.0,22.273556,43.0,2.0,5.0,-6.931114,19.0,22.273556,0.0,0.0,0.0,,32.0,39.65,1.0,32.0,,,12.668772379557293,0.3205325007438659,0.5752605944871902,5.0,17.833333333333332,87.66666666666667,2.171937227249145,-0.3634531497955322,-0.1949436664581298,0.2915177494287491,29.56,17.72
