,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_home_wp,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_total_home_epa,coach_total_home_rush_epa,coach_total_home_pass_epa,coach_3d_pct,ffpts,ffpts_target
1,2018,1,6.00025,6.25,2.585538461538462,16,40,2.5,0,58.2192580321244,-18.2192580321244,-1.138703627007775,0.25,16.0,0.5,2.0,0.8,244.0,2.0,15.0,0.20115024,116.0,0.0,3.0,-13.987625,1.0,-11.690576,41.0,23.083,1.0,41.0,,,65.26753616333008,0.30607603987058,0.4438967357079188,4.666666666666667,19.33333333333333,46.0,-6.040380341311296,-1.8002031246821086,1.0375688870747883,0.3890253578623135,4.0,3.8
3,2018,1,3.2653658536585364,0.0,2.879933333333334,15,82,5.466666666666667,0,76.46472790493398,5.53527209506602,0.369018139671068,0.4,15.0,1.9,3.5,0.71,171.0,0.0,8.0,-5.010433,139.0,1.0,7.0,2.5094147,3.0,0.863306,150.0,23.852,1.0,150.0,,,77.45105218887329,0.3387794395287831,0.5397087708115578,3.8333333333333335,21.83333333333333,86.83333333333333,-0.2958782737453778,-2.036090730379025,2.843096445004145,0.4401725778977076,8.200000000000001,3.5
4,2018,1,7.9326923076923075,40.0,2.6076999999999995,10,26,2.6,0,33.69315372182177,-9.693153721821773,-1.0770170802024193,0.0,10.0,1.4,1.2,0.29,220.0,0.0,13.0,-19.314276,116.0,1.0,4.0,-0.14390063,0.0,-3.0455925,45.0,24.679,1.0,45.0,,,60.61090215047201,0.3115252554416656,0.4151080499092738,4.0,19.33333333333333,59.5,-9.22312667220831,-2.241780718167623,-1.2168171902497609,0.4037312393387158,2.6,5.6000000000000005
5,2018,1,3.748809523809524,36.36363636363637,2.6595454545454547,11,42,3.8181818181818175,0,40.61051050808602,1.3894894919139773,0.1263172265376343,0.5454545454545454,11.0,2.5,1.3,0.2,244.0,2.0,15.0,0.20115024,116.0,0.0,3.0,-13.987625,1.0,-2.6577861,181.0,28.641,1.0,181.0,,,65.26753616333008,0.30607603987058,0.4438967357079188,4.666666666666667,19.33333333333333,46.0,-6.040380341311296,-1.8002031246821086,1.0375688870747883,0.3890253578623135,4.2,4.2
6,2018,1,5.5531250000000005,35.714285714285715,3.0709000000000004,14,48,3.4285714285714284,0,45.07041303610218,-7.070413036102181,-0.543877925854014,0.3846153846153846,14.0,1.6,1.9,0.74,230.0,2.0,9.0,2.2100847,120.0,0.0,7.0,-3.5549972,3.0,-3.157944,73.0,24.619,1.0,73.0,,,91.62484741210938,0.3118060827255249,0.7327462434768677,4.0,18.0,61.0,7.089271545410156,-2.7354724407196045,21.52436065673828,0.2000000029802322,4.800000000000001,11.3
7,2018,1,4.6729268292682935,18.181818181818183,2.5994,11,41,3.727272727272727,1,57.76244561543321,-16.762445615433208,-1.5238586923121098,0.2727272727272727,11.0,0.8,2.9,0.34,,,,,,,,,4.0,0.8804875,12.0,32.386,1.0,12.0,,,,,,,,,,,,,10.1,12.5
8,2018,1,4.027272727272727,61.53846153846154,2.541818181818182,13,44,3.3846153846153846,1,35.29493210171158,8.70506789828842,0.6696206075606477,0.5384615384615384,13.0,0.8,2.6,0.28,260.0,3.0,13.0,8.085815,117.0,3.0,11.0,-3.7188969,3.0,-1.2839187,134.0,24.632,1.0,134.0,,,-63.50570297241211,0.3252189954121907,0.5699067041277885,5.833333333333333,22.5,98.83333333333331,4.078364531199138,2.202758750567833,1.486112746099631,0.3821768363316853,10.4,4.800000000000001
9,2018,1,3.9166666666666665,13.333333333333334,3.3052307692307688,15,69,4.6,1,69.94098045713785,-0.9409804571378544,-0.0627320304758569,0.2,15.0,2.9,1.7,0.92,170.0,0.0,10.0,-8.96002,94.0,1.0,4.0,0.20383382,3.0,0.18595129,4.0,23.135,1.0,4.0,,,89.72963333129883,0.3171007682879765,0.4919978479544322,5.666666666666667,20.33333333333333,91.0,-3.874993085861206,-0.1119167407353719,-3.5484715377291045,0.3876713464657466,12.9,13.8
11,2018,1,3.644933333333333,31.25,2.7259285714285717,16,75,4.6875,1,71.25600143810979,3.743998561890209,0.233999910118138,0.375,16.0,2.0,2.7,0.71,220.0,0.0,13.0,-19.314276,116.0,1.0,4.0,-0.14390063,2.0,1.018926,149.0,27.951,1.0,149.0,,,60.61090215047201,0.3115252554416656,0.4151080499092738,4.0,19.33333333333333,59.5,-9.22312667220831,-2.241780718167623,-1.2168171902497609,0.4037312393387158,13.5,4.2
12,2018,1,3.5310370370370365,51.61290322580645,3.016862068965517,31,135,4.354838709677419,2,120.77144527924976,12.228554720750251,0.4076184906916751,0.5,31.0,2.4,2.0,0.92,335.0,1.0,17.0,-6.6874714,159.0,2.0,7.0,-5.1413617,5.0,-8.255323,105.0,23.348,1.0,105.0,,,197.3413259188334,0.3280918151140213,0.4251294483741124,4.0,19.5,62.0,-8.889512163897356,-2.3832947413126626,-2.0638653139273324,0.3964052324493726,25.5,6.1000000000000005
14,2018,1,5.604193548387097,22.727272727272727,2.8430588235294114,22,62,2.8181818181818183,1,60.37115580562042,-5.371155805620418,-0.2826924108221272,0.5263157894736842,22.0,1.5,1.4,0.53,197.0,1.0,6.0,-18.477764,177.0,2.0,10.0,5.4364734,3.0,-2.5741477,57.0,27.97,1.0,57.0,,,173.9745953877767,0.3204357276360194,0.4516873657703399,5.666666666666667,20.166666666666668,98.16666666666669,-5.281260410944621,1.4379819631576538,-4.525707967579365,0.3891143475969632,12.2,10.3
15,2018,1,5.633000000000001,21.428571428571427,2.9545833333333333,14,40,2.857142857142857,0,51.267625428292746,-11.267625428292746,-0.8048303877351961,0.2857142857142857,14.0,1.2,1.6,0.56,319.0,2.0,17.0,7.0785728,75.0,0.0,4.0,-4.5088406,1.0,-5.9886284,169.0,24.145,1.0,169.0,,,166.8383903503418,0.3283293545246124,0.5342248131831487,4.666666666666667,20.0,84.83333333333333,-3.721081733703613,-0.5527408917744955,-0.3883683755993843,0.3731210802992185,4.0,6.1000000000000005
16,2018,1,5.302040816326532,31.25,2.617692307692308,16,49,3.0625,0,57.14991959617284,-8.149919596172836,-0.5093699747608023,0.25,16.0,0.7,2.4,0.71,256.0,4.0,10.0,12.7521105,106.0,0.0,7.0,-1.2504128,2.0,-3.0578647,86.0,23.094,1.0,86.0,,,126.4694595336914,0.3058471232652664,0.4645656272768974,4.5,18.5,41.0,-3.1668014526367188,0.6144260168075562,12.52549135684967,0.3000000044703483,4.9,7.5
17,2018,1,4.417631578947368,33.33333333333333,2.5168,12,38,3.1666666666666665,0,38.57331502213133,-0.5733150221313323,-0.0477762518442776,0.25,12.0,1.8,1.4,0.52,261.0,1.0,10.0,-13.54858,90.0,0.0,6.0,-8.591491,3.0,-6.93832,173.0,29.741,1.0,173.0,,,-111.92257197697955,0.3262905577818553,0.584555096924305,5.833333333333333,22.33333333333333,94.83333333333331,3.698362112045288,1.4072854133943715,0.914579709370931,0.3648111224174499,3.8,4.800000000000001
18,2018,1,4.3090625,22.22222222222222,2.6845000000000003,18,64,3.555555555555556,0,75.86304547760447,-11.863045477604471,-0.6590580820891374,0.3333333333333333,18.0,1.8,1.8,0.51,277.0,3.0,16.0,8.182894,122.0,0.0,5.0,-3.7544026,2.0,-3.0649211,190.0,28.189,1.0,190.0,,,89.27957820892334,0.3168629109859466,0.4846520163118839,4.5,23.0,46.25,-3.4315335750579834,0.97449192404747,10.186821043491364,0.2896103970706463,6.4,3.9
19,2018,1,2.0970588235294123,0.0,2.7641,10,102,10.2,2,49.22492354909824,52.77507645090176,5.277507645090176,0.3,10.0,0.8,9.4,0.4,198.0,2.0,10.0,7.2839,169.0,2.0,7.0,-6.0941095,3.0,5.495819,,25.67,1.0,,,,-83.18197631835938,0.3488229215145111,0.4920894652605057,4.5,18.5,65.5,-7.186822891235352,-0.4721469469368458,-6.904564221700032,0.3047198231021563,22.200000000000003,3.5
20,2018,1,3.4124193548387094,33.33333333333333,2.573571428571429,15,62,4.133333333333334,2,57.59591260324908,4.404087396750924,0.2936058264500616,0.3333333333333333,15.0,1.3,2.9,0.4,132.0,0.0,6.0,-9.232809,113.0,2.0,7.0,2.954251,4.0,2.0748916,149.0,25.227,1.0,149.0,,,91.41999371846516,0.3249037861824035,0.564173643787702,5.333333333333333,20.0,75.66666666666667,-0.2238124211629232,0.572324295838674,1.6548197269439695,0.3128969892859459,18.2,7.0
21,2018,1,3.145633802816901,40.0,2.4317857142857138,15,71,4.733333333333333,0,68.72098282802186,2.27901717197814,0.151934478131876,0.5333333333333333,15.0,3.1,1.7,0.35,329.0,3.0,15.0,-3.8372416,146.0,0.0,8.0,-4.0300503,5.0,-0.56345415,,24.129,1.0,,0.0,0.0,-25.5812193552653,0.3481893340746562,0.4582873334487279,4.5,19.166666666666668,57.16666666666666,-8.383619546890259,0.6150289786358675,-9.617843627929688,0.3047198231021563,7.1000000000000005,10.7
22,2018,1,3.1349473684210527,11.76470588235294,2.9141250000000003,17,95,5.588235294117647,1,77.08261716056958,17.917382839430417,1.053963696437083,0.5294117647058824,17.0,2.9,2.7,0.79,243.0,2.0,11.0,2.677497,101.0,1.0,5.0,3.53676,4.0,3.91418,48.0,22.127,1.0,48.0,,,-18.338862260182697,0.3367755661408106,0.6301907623807589,4.166666666666667,21.83333333333333,89.83333333333333,1.840791384379069,-1.696620423346758,3.017089078823725,0.4018481572469075,15.5,8.4
23,2018,1,3.88046875,20.0,2.739357142857142,15,64,4.266666666666667,0,82.9336255505272,-18.9336255505272,-1.26224170336848,0.3333333333333333,15.0,1.9,2.3,0.76,424.0,3.0,23.0,16.011957,123.0,0.0,7.0,1.6609118,3.0,-2.6626775,15.0,25.407,1.0,15.0,,,130.82002766927084,0.3145602544148763,0.370935246348381,4.0,23.0,52.0,-6.639084498087565,1.7310588359832764,9.472276131312052,0.2909090965986252,6.4,14.0
25,2018,1,4.688510638297873,20.0,2.7739285714285717,15,47,3.1333333333333333,0,60.78003573966004,-13.780035739660036,-0.9186690493106692,0.4,15.0,1.3,1.8,0.62,341.0,3.0,14.0,2.0231357,69.0,0.0,2.0,-3.4063265,2.0,-3.8718019,134.0,23.436,1.0,134.0,,,224.0954054196676,0.3284136702617009,0.4478984971841176,3.5,18.666666666666668,70.83333333333333,-12.13354287793239,-4.576478560765584,-3.0297967294851937,0.3943850323557853,4.7,5.9
26,2018,1,4.085072463768117,31.57894736842105,2.9826874999999995,19,69,3.631578947368421,0,49.212291250331496,18.787708749668504,1.0437615972038057,0.5,19.0,0.8,2.8,0.73,417.0,4.0,17.0,29.170437,112.0,1.0,5.0,-3.3298376,2.0,-3.4071188,,24.531,1.0,,6.128333336114884,12.256666672229768,140.52234331766763,0.3252652635176976,0.4806370014945666,4.5,22.666666666666668,64.16666666666667,-4.095352490743001,1.561879575252533,3.7784371773401895,0.3243534341454506,6.9,2.2
27,2018,1,3.8345000000000007,25.0,3.163083333333333,12,60,5.0,0,55.59499813433021,4.405001865669796,0.3670834888058163,0.4166666666666667,12.0,3.8,1.3,0.4,198.0,2.0,10.0,7.2839,169.0,2.0,7.0,-6.0941095,3.0,-0.9661718,126.0,29.87,1.0,126.0,,,-83.18197631835938,0.3488229215145111,0.4920894652605057,4.5,18.5,65.5,-7.186822891235352,-0.4721469469368458,-6.904564221700032,0.3047198231021563,6.0,7.300000000000001
28,2018,1,3.2628301886792466,27.77777777777778,3.0294,18,106,5.888888888888889,1,59.16591501321336,43.83408498678664,2.578475587458038,0.2941176470588235,18.0,1.1,4.8,0.77,224.0,0.0,8.0,-11.798196,114.0,1.0,3.0,-2.1723118,3.0,0.54264975,2.0,21.58,1.0,2.0,,,-59.03850936889648,0.3057389209667842,0.4605750838915507,4.833333333333333,19.0,55.833333333333336,-7.415216604868571,-1.997287472089132,-1.4332853158315022,0.3716799591978391,16.6,2.8000000000000003
29,2018,1,4.603478260869565,36.36363636363637,2.809333333333333,11,46,4.181818181818182,0,64.35855937497696,-18.358559374976963,-1.668959943179724,0.2727272727272727,11.0,2.7,1.5,0.45,261.0,1.0,10.0,-13.54858,90.0,0.0,6.0,-8.591491,2.0,-2.276087,,23.529,1.0,,,,-111.92257197697955,0.3262905577818553,0.584555096924305,5.833333333333333,22.33333333333333,94.83333333333331,3.698362112045288,1.4072854133943715,0.914579709370931,0.3648111224174499,4.6000000000000005,19.8
30,2018,1,3.802685185185185,0.0,3.022263157894737,20,108,5.4,0,90.92966534543277,17.070334654567247,0.8535167327283624,0.35,20.0,2.3,3.1,0.94,233.0,2.0,13.0,5.476922,140.0,0.0,8.0,2.6140876,6.0,0.8951599,10.0,24.104,1.0,10.0,,,-42.53271230061849,0.3079927663008372,0.6616676251093546,5.5,16.666666666666668,81.83333333333333,5.413795153299968,-0.6966086626052856,4.0078980922698975,0.2860711266597112,10.8,22.2
31,2018,2,4.594117647058823,10.0,3.1021000000000005,10,34,3.4,0,37.176521534935375,-3.1765215349353757,-0.3176521534935375,0.5,10.0,1.8,1.6,0.3,179.0,2.0,10.0,0.7386547,104.0,1.0,5.0,0.8573108,1.0,-0.98848575,143.0,22.527,2.0,71.5,,,255.72778956095377,0.330566590030988,0.715683326125145,4.5,21.5,51.5,2.514060060183207,-6.031246900558472,8.330084105332693,0.5016865183909734,3.4000000000000004,8.9
33,2018,2,4.148695652173912,75.0,2.821111111111111,12,46,3.8333333333333335,0,48.89724986376062,-2.8972498637606208,-0.2414374886467184,0.4166666666666667,12.0,1.6,2.3,0.32,354.0,1.0,14.0,14.948311,90.0,3.0,8.0,-4.4487834,2.0,-0.5618074,,25.339,2.0,,,,65.2505537668864,0.3279431263605754,0.68079857279857,4.833333333333333,20.666666666666668,43.0,7.697763601938884,0.8206070065498352,2.8677071730295816,0.4500375539064407,4.6000000000000005,6.5
34,2018,2,3.976949152542373,0.0,2.497333333333333,16,59,3.6875,0,56.53147533954525,0.4685246604547473,0.0312349773636498,0.4666666666666667,16.0,2.8,0.9,0.61,281.0,1.0,11.0,1.5708182,98.0,0.0,9.0,-1.1010215,6.0,-2.2991529,134.0,23.455,2.0,67.0,,,440.8372484842936,0.331654891371727,0.7132094651460648,5.0,22.666666666666668,73.16666666666667,5.280373404423396,3.616320669651032,-1.1031436920166016,0.3532002766927083,5.9,2.7
35,2018,2,4.549142857142856,16.666666666666664,2.594333333333333,12,35,2.9166666666666665,0,48.03966777675078,-13.039667776750782,-1.0866389813958983,0.25,12.0,0.5,2.4,0.48,334.0,1.0,17.0,-5.936916,42.0,0.0,3.0,-7.3698277,3.0,-3.422904,,25.687,2.0,,0.0,1.0780000120401383,57.97634029388428,0.3358959729472796,0.5524794037143389,4.666666666666667,18.33333333333333,47.66666666666666,9.320494562387466,-1.0625521540641785,6.738081216812134,0.3575036178032557,3.5,15.4
37,2018,2,2.427540983606557,50.0,2.3529,10,61,6.1,0,46.73559716640242,14.26440283359758,1.4264402833597578,0.5,10.0,3.9,2.2,0.38,179.0,2.0,10.0,0.7386547,104.0,1.0,5.0,0.8573108,2.0,1.9101114,169.0,24.164,2.0,84.5,,,255.72778956095377,0.330566590030988,0.715683326125145,4.5,21.5,51.5,2.514060060183207,-6.031246900558472,8.330084105332693,0.5016865183909734,6.1000000000000005,4.7
38,2018,2,5.617380952380952,47.368421052631575,2.9130000000000003,19,42,2.210526315789474,3,46.82291540415383,-4.822915404153832,-0.2538376528502017,0.3684210526315789,19.0,0.5,1.7,0.68,354.0,1.0,14.0,14.948311,90.0,3.0,8.0,-4.4487834,5.0,-0.27885118,10.0,24.12,2.0,5.0,,,65.2505537668864,0.3279431263605754,0.68079857279857,4.833333333333333,20.666666666666668,43.0,7.697763601938884,0.8206070065498352,2.8677071730295816,0.4500375539064407,22.2,16.5
39,2018,2,3.001379310344828,20.0,2.624222222222222,10,58,5.8,0,30.20242874495456,27.797571255045444,2.779757125504545,0.6,10.0,3.4,2.4,0.58,376.0,4.0,22.0,19.470377,104.0,0.0,5.0,-1.4851034,2.0,-0.27549693,36.0,24.956,2.0,18.0,,,186.09326680501303,0.3340847492218017,0.7026540314157804,4.333333333333333,21.166666666666668,44.5,3.4222457806269326,-2.2149898211161294,4.216355661551158,0.4634920756022135,5.800000000000001,11.2
40,2018,2,4.000943396226416,0.0,2.5291111111111118,11,53,4.818181818181818,1,48.80822517893279,4.191774821067213,0.3810704382788375,0.3636363636363636,11.0,0.9,3.9,0.6,168.0,2.0,9.0,-5.6374125,135.0,1.0,6.0,-5.4658647,3.0,1.4296526,73.0,24.638,2.0,36.5,,,3.60090446472168,0.3565927445888519,0.3351193393270175,4.166666666666667,20.5,46.333333333333336,-17.927565336227417,-1.6914088316261768,-16.265295108159382,0.3594206770261128,11.3,5.7
